gameId,name
751,Strategy Games
753,Wargames
754,Abstract Games
755,Wargames
756,Strategy Games
759,Wargames
760,Strategy Games
761,Family Games|Thematic Games
764,Party Games
765,Abstract Games
766,Strategy Games
770,Family Games
771,Strategy Games
774,Children's Games
780,Abstract Games
782,Family Games|Strategy Games
788,Thematic Games
789,Abstract Games
790,Abstract Games
792,Abstract Games
793,Family Games|Party Games
795,Family Games
798,Wargames
799,Thematic Games
801,Wargames
802,Wargames
803,Wargames
804,Thematic Games
805,Thematic Games
806,Strategy Games
808,Abstract Games
810,Abstract Games
811,Family Games
813,Children's Games
814,Family Games
815,Family Games|Thematic Games
816,Strategy Games
820,Abstract Games
821,Abstract Games
822,Family Games
823,Thematic Games
824,Abstract Games
825,Family Games
826,Family Games
827,Strategy Games
828,Thematic Games
831,Strategy Games
833,Wargames
834,Party Games
836,Strategy Games
840,Family Games
841,Family Games|Strategy Games
843,Strategy Games|Thematic Games
847,Abstract Games
852,Children's Games
853,Family Games
854,Strategy Games
855,Strategy Games
859,Strategy Games|Thematic Games
860,Wargames
861,Children's Games
864,Customizable Games
867,Abstract Games|Strategy Games
870,Strategy Games
872,Abstract Games|Family Games
875,Strategy Games
878,Family Games
883,Family Games
884,Strategy Games
891,Party Games
894,Children's Games
895,Thematic Games
902,Strategy Games
903,Family Games
904,Family Games|Strategy Games
905,Abstract Games
908,Family Games
910,Strategy Games
911,Strategy Games|Wargames
912,Wargames
915,Family Games
916,Children's Games
917,Family Games
923,Family Games
925,Party Games
926,Strategy Games
929,Party Games
931,Abstract Games
932,Family Games|Strategy Games
935,Strategy Games
936,Thematic Games
937,Strategy Games
938,Children's Games
939,Thematic Games
941,Family Games
943,Family Games
944,Thematic Games
948,Abstract Games
949,Abstract Games
950,Abstract Games|Strategy Games
951,Strategy Games
956,Strategy Games|Wargames
959,Wargames
962,Abstract Games
963,Family Games|Strategy Games
964,Children's Games
979,Children's Games
980,Family Games
982,Thematic Games|Wargames
983,Abstract Games|Family Games
986,Strategy Games
987,Strategy Games|Wargames
988,Children's Games
990,Abstract Games
993,Strategy Games
999,Children's Games
1000,Abstract Games
1002,Strategy Games
1005,Children's Games
1014,Strategy Games
1017,Strategy Games
1021,Abstract Games
1029,Wargames
1032,Wargames
1033,Wargames
1035,Wargames
1036,Family Games|Strategy Games
1037,Customizable Games
1038,Abstract Games
1041,Strategy Games
1042,Family Games
1044,Thematic Games|Wargames
1045,Abstract Games
1047,Abstract Games
1051,Abstract Games
1053,Abstract Games
1070,Children's Games|Family Games
1071,Abstract Games
1072,Family Games|Party Games
1073,Family Games
1077,Abstract Games
1079,Abstract Games
1082,Abstract Games
1083,Children's Games
