id,name,year,expansion,minplayers,maxplayers,bestminnumplayers,bestmaxnumplayers,rminnumplayers,rmaxnumplayers,age,averageweight,minplaytime,maxplaytime,url
1047,MeM,1968,0,1,2,2,2,2,2,10,3.86,20,20,1047/mem
1053,Orbit,1993,0,3,6,0,0,0,0,12,2.0,45,45,1053/orbit
1070,Shadows in the Forest,1985,0,2,8,0,0,3,6,8,1.11,15,15,1070/shadows-forest
1073,Der Schatz der Inka,1987,0,2,6,4,5,3,6,8,1.27,60,60,1073/der-schatz-der-inka
1077,Baubylon,1981,0,2,6,0,0,0,0,10,2.0,60,60,1077/baubylon
1082,Invers,1991,0,2,2,2,2,2,2,7,1.7,20,20,1082/invers
1094,Assassin,1993,0,3,6,0,0,0,0,10,1.5,30,90,1094/assassin
1098,Judge Dredd,1982,0,2,6,5,6,4,6,8,1.89,90,90,1098/judge-dredd
1099,Downspin,1970,0,2,2,2,2,2,2,7,1.15,30,30,1099/downspin
1107,Nyet!,1997,0,2,5,4,4,3,5,10,1.92,30,30,1107/nyet
1111,Taboo,1989,0,4,10,6,6,4,10,12,1.21,20,20,1111/taboo
1115,Poker,1810,0,2,10,5,6,3,9,12,2.45,60,60,1115/poker
1116,Oh Hell!,1930,0,3,7,5,6,3,7,10,1.73,30,30,1116/oh-hell
1117,You're Bluffing!,1985,0,3,5,5,5,3,5,10,1.63,45,45,1117/youre-bluffing
1125,Big Shot,2001,0,2,4,3,4,2,4,10,1.98,30,30,1125/big-shot
1126,Car Wars: The Card Game,1991,0,2,6,4,6,2,6,10,1.42,60,60,1126/car-wars-card-game
1137,Die Siedler von Catan: Das Buch zum Spielen,2000,1,2,6,4,4,2,6,12,2.92,60,60,1137/die-siedler-von-catan-das-buch-zum-spielen
1142,Sabotage,1985,0,2,2,0,0,0,0,8,1.6,30,30,1142/sabotage
1143,Warrior Knights,1985,0,2,6,4,4,3,5,10,3.23,180,180,1143/warrior-knights
1144,The Warlock of Firetop Mountain,1986,0,2,6,3,4,3,5,10,1.86,120,120,1144/warlock-firetop-mountain
1145,City of Chaos,1996,0,1,6,3,3,2,4,12,2.79,300,300,1145/city-chaos
1149,Dragon Strike,1993,0,2,6,4,4,2,6,10,2.31,60,60,1149/dragon-strike
1150,Lionheart,1997,0,2,2,2,2,2,2,10,1.77,60,60,1150/lionheart
1152,The Mystic Wood,1980,0,2,4,4,4,2,4,12,1.48,60,60,1152/mystic-wood
1155,Capitol,2001,0,2,4,4,4,3,4,10,2.64,60,60,1155/capitol
1157,Save Doctor Lucky,2000,0,3,7,0,0,4,7,10,1.49,30,30,1157/save-doctor-lucky
1158,Rus': Rise of Russia 20 BC - AD1584,2000,0,3,4,3,4,1,4,12,2.67,180,180,1158/rus-rise-russia-20-bc-ad1584
1159,Evo,2001,0,3,5,4,5,3,5,12,2.34,60,120,1159/evo
1163,"Ciao, Ciao...",1997,0,2,4,4,4,2,4,10,1.08,30,30,1163/ciao-ciao
1170,Trick 'r Treat,1998,0,3,6,0,0,0,0,8,1.1,20,20,1170/trick-r-treat
1177,Die Ritter von der Haselnuss,1996,0,2,4,3,4,3,4,6,1.1,30,30,1177/die-ritter-von-der-haselnuss
1187,The Fellowship of the Ring,1983,0,2,2,2,2,2,2,13,3.57,240,240,1187/fellowship-ring
1188,Chaos Marauders,1987,0,2,4,4,4,3,4,10,1.36,45,45,1188/chaos-marauders
1189,The King's War: The First English Civil War 1642-1646,1989,0,2,2,0,0,0,0,12,3.43,240,240,1189/kings-war-first-english-civil-war-1642-1646
1190,Continuo,1982,0,1,5,3,3,2,4,4,1.41,20,20,1190/continuo
1194,Speed Circuit,1971,0,2,6,6,6,3,6,12,2.05,120,120,1194/speed-circuit
