gameid,name
329,Neil Zimmerer
330,Richard Halliwell
332,Klaus Teuber
333,Mattiene Moustakas
334,Charles Phillips
335,Alex Randolph
336,Uncredited
337,JBJ|Reiner Knizia
338,Uwe Rosenberg
339,Marsha J. Falco
340,Doris Matthäus|Frank Nestel
342,Reiner Knizia
343,Reiner Knizia
344,Reiner Knizia
345,John Bohrer
347,Alan R. Moon
348,Wolfgang Kramer|Richard Ulrich
349,Alex Randolph
350,Klaus Palesch
352,Phil Orbanes Sr.
353,Leo Colovini|Alex Randolph
354,Klaus Palesch
355,Reiner Knizia
356,Helga Huber|Hermann Huber
357,Reiner Knizia
359,Reiner Knizia
360,Scott Kimball
361,David Parlett
362,Henri Sala
363,Reiner Knizia
364,Sid Sackson
365,Alan R. Moon
366,Wolfgang Kramer
367,Frank DiLorenzo|Stacey Merrill
368,Reiner Knizia
369,Jack Montgomery|Ellen Washburne|Norman Washburne
370,Wolfgang Kramer|Richard Ulrich
371,Mike Fitzgerald
372,Reiner Knizia
373,Steve Doherty
374,Reinhard Staupe
375,David Coutts
376,Michael Rieneck
377,Mark J. Bronkowski
378,Martin Wallace
379,Darwin Bromley
380,Douglas Seaton
381,Valentin Herman
382,Wolfgang Kramer
383,Reiner Knizia
384,Albrecht Nolte
386,Scott Peterson
387,Bruno Faidutti
388,Oliver Abendroth
389,Thomas Fackler
391,Peter Schurzmann
392,James Ernest
393,Mick Uhl
394,Günter Cornett
396,Michael Kiesling|Wolfgang Kramer
397,Tod Gelle|Darrell Hardy|Tom Jolly|Christian T. Petersen
398,Reiner Knizia
399,Jim Van Verth
400,Sid Sackson
401,Sid Sackson
403,Hermann Huber
404,Alex Randolph
406,Wil Dijkstra|Ben van Dijk
408,Migou Auteurs|Robert Cepo|Nicolas Pilartz
409,Bernhard Naegele
410,Herman Haverkort|Joris Wiersinga
412,Dirk Henn
413,"Bill Eberle|Volker Hesselmann|Edward Horn, Jr.|Jack Kittredge|Peter Olotka"
414,Wolfgang Kramer
415,Michael Michaels
416,Gordon Barlow
417,Günter Burkhardt
420,"R. S. Erickson|Thomas F. Erickson, Jr."
421,Francis Tresham
422,Michael Meier-Bachl|Francis Tresham
423,Bill Dixon
424,Bill Dixon
425,Christian T. Petersen
426,Mick Uhl|Bruno Sinigaglio
427,Jeff London
428,Klaus Teuber
429,Wolfgang Kramer
430,David Parlett
431,Dirk Henn
432,Wolfgang Kramer
433,H. Jean Vanaise
434,Stefan Dorra
436,Frederick A. Herschler
437,Max J. Kobbert
438,Manfred Burggraf|Dorothy Garrels|Wolf Hoermann|Fritz Ifland|Werner Scheerer|Werner Schlegel
440,Christwart Conrad
441,Richard Garfield
442,Rob Bontenbal
443,Robert Abbott|Alex Randolph
444,Wolfgang Kramer
445,Leo Colovini|Alex Randolph
446,Frank W. Sinden
449,Nik Sewell
450,Don Green I
451,Mark Sienholz
452,Monty Stambler|Ann Stambler
453,Uwe Rosenberg
454,Doris Matthäus|Frank Nestel
455,Reiner Knizia
457,Reiner Knizia
458,Roger Heyworth
459,Wolfgang Riedesser
460,David G. Watts
461,Reiner Stockhausen
462,Doris Matthäus|Frank Nestel
463,Richard Garfield
464,Eric Solomon
465,Michael Hageböck|Ralf zur Linde
466,Leo Colovini|Alex Randolph
467,Uwe Rosenberg
468,Neil Carr
469,Alex Randolph
470,Jim Musser
471,Philippe des Pallières|Patrice Pillet
472,Jakob Bonds|Dan Glimne
473,Wolfgang Panning
474,Lenny Glynn|John Prados
475,Reiner Knizia
476,Jack Carmichael
477,Ernie Parmentier
478,Bruno Faidutti
479,Hartmut Kommerell
480,Martin Wallace
481,Leo Colovini
482,Dan Glimne|Erik Karlsson|Joel Sevelin
483,Allan B. Calhamer
484,Craig Van Ness
485,Heinz Meister
486,Reinhard Staupe
487,Monte B. Young
488,Wolfgang Kramer
489,Günter Burkhardt
490,Angelo Porazzi
491,Michael Schacht
492,Richard Breese
494,Wolfgang Riedesser
495,Alan R. Moon|Aaron Weissblum
496,Alex Randolph
497,Reiner Knizia
498,Nik Sewell
499,Martin Arnold|Armin Müller
500,Ronald M. Corn
501,Wolfgang Riedesser
502,Franz Josef Lamminger
503,Reiner Knizia
504,Alex Randolph|Johann Rüttinger
505,Wolfgang Riedesser
506,James Ernest|Jon Wilkie
507,Phil Orbanes Sr.
508,Phil Hall|John Harshman
509,Christine Lehmann|Wolfgang A. Lehmann
510,Reinhard Staupe
511,Dori Smith|Phillip John Smith
512,Sid Sackson
513,Jeff Dee
514,Jean Tarrade
515,Walter Toncar
517,Patrick Dolan
518,Patrick Folan
519,Alan R. Moon
520,"Larry Harris, Jr."
521,Uncredited
524,Reiner Knizia
525,Günter Burkhardt
526,Michel Lalet|Laurent Levi
527,Kris Burm
528,Kris Burm
529,Gerard Mulder
530,Walter Müller
531,Reiner Knizia
533,Max J. Kobbert
534,Projekt Team III
535,Uncredited
536,Ron Dubren
537,Monty Stambler|Ann Stambler
538,Burkhardt Münchhagen|Peter Pfeifer|Waltraud Pfeifer
539,David G. Watts
540,Alex Randolph
541,Peter Steinke|Martin Wieland
542,Bruno Faidutti
545,Spartaco Albertarelli|Marianna Fulvi|Elena Prette|Angelo Zucca
547,Jim Winslow
548,Jeff Grubb
549,Stanley Kubiak|Winston J. Kubiak
550,Klaus Teuber
551,Richard Borg
552,Jeroen Doumen|Joris Wiersinga
553,Jon Darbro
